[02:04:45.366] "<02:04:45.355><11951.984546> \nGenotype received from s3 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s3\"}",
[02:15:57.655] "<02:15:57.655><684196.352887> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:15:57.655] "<02:15:57.655><54893.365000000005> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:02.660] "<02:16:02.660><689200.266726> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:02.660] "<02:16:02.660><689201.093435> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:16:02.660] "<02:16:02.660><59897.990000000005> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:07.659] "<02:16:07.659><694198.982248> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:07.659] "<02:16:07.659><64896.42500000001> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:07.659] "<02:16:07.659><694199.79356> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:16:12.659] "<02:16:12.659><699198.51145> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:12.659] "<02:16:12.659><699199.328092> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:16:12.659] "<02:16:12.659><69896.065> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:17.661] "<02:16:17.661><704200.15717> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:17.661] "<02:16:17.661><704201.335052> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:16:17.661] "<02:16:17.661><74897.58> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:22.657] "<02:16:22.657><709194.942862> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:22.657] "<02:16:22.657><709195.781415> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:16:22.657] "<02:16:22.656><79892.11> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:27.663] "<02:16:27.663><714199.891273> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:27.663] "<02:16:27.663><714200.725088> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:16:27.663] "<02:16:27.662><84897.77500000001> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:32.660] "<02:16:32.660><719196.773347> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:32.660] "<02:16:32.660><719197.603018> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:16:32.660] "<02:16:32.659><89894.835> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:37.661] "<02:16:37.661><724196.996606> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:37.661] "<02:16:37.661><724198.189294> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:16:37.661] "<02:16:37.660><94894.97> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:42.658] "<02:16:42.657><99891.985> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:42.658] "<02:16:42.658><729195.732262> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:16:42.658] "<02:16:42.658><729194.904369> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:16:47.660] "<02:16:47.660><734196.014149> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:47.660] "<02:16:47.660><734196.843227> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:16:47.660] "<02:16:47.659><104894.13500000001> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:52.664] "<02:16:52.664><739199.796521> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:52.664] "<02:16:52.664><739200.654024> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:16:52.664] "<02:16:52.664><109897.85> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:57.666] "<02:16:57.666><744201.915999> \nGenotype received from s29 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:57.666] "<02:16:57.666><114899.71> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\"}",
[02:16:57.666] "<02:16:57.666><744203.177974> Genotype sends to s29 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s29\",\"genotype\":70}",
[02:17:02.663] "<02:17:02.663><749197.893195> \nGenotype received from s29 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:17:02.663] "<02:17:02.663><749198.738854> Genotype sends to s29 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\",\"genotype\":6}",
[02:17:02.663] "<02:17:02.663><119896.05000000002> \n%%% g-proxy s29 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s29\"}",
[02:17:15.138] "<02:17:15.138><761676.805302> \nGenotype received from s38 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\"}",
[02:17:15.138] "<02:17:15.138><761677.700707> Genotype sends to s38 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\",\"genotype\":6}",
[02:17:15.148] "<02:17:15.139><9895.175> \n%%% g-proxy s38 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\"}",
[02:17:15.148] "<02:17:15.149><9906.7> producer s38 received GENOTYPE",
[02:17:15.166] "<02:17:15.165><761697.118895> Phenotype received from s38 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\",\"genotype\":6}",
[02:17:15.166] "<02:17:15.165><761697.808807> Phenotype sends to s38 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\",\"genotype\":6,\"phenotype\":3}",
[02:17:15.168] "<02:17:15.165><9915.575> %%% p-proxy s38 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\",\"genotype\":6}",
[02:17:15.169] "<02:17:15.149><9899.395> g-proxy s38 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\",\"genotype\":6}",
[02:17:15.172] "<02:17:15.172><9922.105> producer s38 received PHENOTYPE",
[02:17:15.174] "<02:17:15.167><9917.345000000001> p-proxy s38 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\",\"genotype\":6,\"phenotype\":3}",
[02:17:20.148] "<02:17:20.148><766682.310972> \nGenotype received from s38 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s38\"}",
[02:17:20.148] "<02:17:20.149><14900.285000000002> \n%%% g-proxy s38 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s38\"}",
[02:17:20.148] "<02:17:20.148><766683.119323> Genotype sends to s38 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s38\",\"genotype\":70}",
[02:17:25.143] "<02:17:25.143><771676.855047> \nGenotype received from s38 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s38\"}",
[02:17:25.143] "<02:17:25.143><771677.646224> Genotype sends to s38 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s38\",\"genotype\":70}",
[02:17:25.143] "<02:17:25.143><19894.52> \n%%% g-proxy s38 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s38\"}",
[02:17:30.143] "<02:17:30.141><776672.68597> \nGenotype received from s38 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\"}",
[02:17:30.143] "<02:17:30.142><776673.181048> Genotype sends to s38 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\",\"genotype\":6}",
[02:17:30.144] "<02:17:30.141><24890.97> \n%%% g-proxy s38 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\"}",
[02:17:35.148] "<02:17:35.148><781680.559249> \nGenotype received from s38 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\"}",
[02:17:35.148] "<02:17:35.148><29898.305000000004> \n%%% g-proxy s38 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\"}",
[02:17:35.148] "<02:17:35.148><781681.080383> Genotype sends to s38 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s38\",\"genotype\":6}",
[02:17:47.881] "<02:17:47.881><794416.053791> \nGenotype received from s42 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\"}",
[02:17:47.891] "<02:17:47.881><794418.201695> Genotype sends to s42 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6}",
[02:17:47.891] "<02:17:47.880><9787.260000000002> \n%%% g-proxy s42 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\"}",
[02:17:47.891] "<02:17:47.880><9791.025000000001> g-proxy s42 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6}",
[02:17:47.891] "<02:17:47.890><9796.7> producer s42 received GENOTYPE",
[02:17:47.905] "<02:17:47.902><9803.395> %%% p-proxy s42 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6}",
[02:17:47.906] "<02:17:47.904><794433.148193> Phenotype received from s42 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6}",
[02:17:47.906] "<02:17:47.905><794433.816192> Phenotype sends to s42 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6,\"phenotype\":3}",
[02:17:47.909] "<02:17:47.905><9806.445> p-proxy s42 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6,\"phenotype\":3}",
[02:17:47.910] "<02:17:47.907><9808.955000000002> producer s42 received PHENOTYPE",
[02:17:52.879] "<02:17:52.877><799405.400732> \nGenotype received from s42 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\"}",
[02:17:52.879] "<02:17:52.878><799406.212636> Genotype sends to s42 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6}",
[02:17:52.880] "<02:17:52.875><14776.215> \n%%% g-proxy s42 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\"}",
[02:17:57.876] "<02:17:57.876><804406.418129> \nGenotype received from s42 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\"}",
[02:17:57.876] "<02:17:57.876><804407.735771> Genotype sends to s42 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6}",
[02:17:57.876] "<02:17:57.875><19777.065> \n%%% g-proxy s42 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\"}",
[02:18:03.376] "<02:18:03.376><809907.527613> \nGenotype received from s42 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\"}",
[02:18:03.376] "<02:18:03.376><809908.601861> Genotype sends to s42 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\",\"genotype\":6}",
[02:18:03.376] "<02:18:03.375><25277.2> \n%%% g-proxy s42 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s42\"}",
[02:18:08.375] "<02:18:08.375><814905.870642> \nGenotype received from s42 {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s42\"}",
[02:18:08.375] "<02:18:08.375><814906.721039> Genotype sends to s42 generated genotype {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s42\",\"genotype\":70}",
[02:18:08.385] "<02:18:08.374><30275.465000000004> \n%%% g-proxy s42 sends to Genotype g-ch msg {\"axiom\":[10,7],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s42\"}",
